Order_No,MDL_No,Docket_No,MDL Type,Date,Judge,Judge_Type,Contested,Applications_Solicited,Resolve_Rule_23,OU_Create,OU_Terminate,OU_Functions,OU_Duties_to_Nonclients,IRPA_Duties_to_Clients,Limit_Nonleader_Practice,Order_Types,Rule_23,MCL,Notes,OU_Plaintiff,OU_Defendant,Appointments_Count
2874-48,2874,48,Intellectual Property,2019-04-08,SI,DJ,,checked,,1,,,,,,Communications,,,Only appoints D's liaison counsel ,,checked,1
2865-30,2865,30,Miscellanous,2018-11-20,LAK,DJ,,checked,,1,,,,,,LeadCounsel,,,,,checked,1
2859-334,2859,334,Products Liability,2021-03-02,PAC,DJ,,,,,,,,,,Management,,,Readopts P's previous leadership slate with one change,checked,,10
2843-102,2843,102,Miscellanous,2018-07-27,VC,DJ,,checked,,1,,checked,,,,LeadCounsel,,,"Solicited applications and named ""finalists"" in doc #76 before officially naming lead counsel in this order. Later defines duties in doc #120",checked,,2
2833-20,2833,20,Contract ,2018-09-12,CDJ,DJ,,,,1,,,,,,ClassCounsel,,,,checked,,1
2833-29,2833,29,Contract ,2018-10-16,CDJ,DJ,,,,2,,,,,,"LeadCounsel,Management",,,,checked,,8
2828-104,2828,104,Sales Practices,2018-06-18,MHS,DJ,,,,,,,,,,"LeadCounsel,Management,Communications",checked,,Creates appointments only on an interim basis with one year renewable terms,checked,,11
2775-1789,2775,1789,Products Liability,2019-09-24,CCB,DJ,,,,,,,,,,"LeadCounsel,Management,Communications",,,Reappointment and adding new PSC members,checked,,20
2809-607,2809,607,Products Liability,2020-12-22,KKC,DJ,,,,,,,,,,Management,,,,checked,,1
2818-13,2818,13,Sales Practices,2018-04-11,MFL,DJ,,checked,,1,,checked,checked,,,LeadCounsel,,,,checked,,4
2846-3,2846,3,Products Liability,2018-08-17,EAS,DJ,,,,3,,,,,,"LeadCounsel,Communications,Management",,,,checked,,3
2846-855,2846,855,Products Liability,2024-09-16,EAS,DJ,,,,,,,,,,Management,,,Resignation,checked,,1
2827-99,2827,99,Miscellanous,2018-05-01,EJD,DJ,checked,checked,,14,,,,,,"LeadCounsel,Management,Discovery,Motions,Settlement,Expert,Trial,Communications",checked,,"Dearman appointed as ""chair"" of the PEC",checked,,59
2522-64,2522,64,Miscellanous,2014-05-15,PAM,DJ,,checked,,8,,checked,checked,,checked,"LeadCounsel,Management,Communications",checked,,"Appoints ""Coordinating"" lead and liaison counsel to oversee entire litigation, as well as lead and liaison counsel for specific groups of plaintiffs. Subject to reappointment in a year.",checked,,8
2522-74,2522,74,Miscellanous,2014-05-22,PAM,DJ,,,,3,,,,,,Management,,,"Appoints executive/steering committees to assist coordinating lead/liaison counsel, financial institution lead/liaison counsel, and consumer lead/liaison counsel counsel.",checked,,11
2522-364,2522,364,Miscellanous,2015-03-19,PAM,DJ,,,checked,1,,,,,,"Settlement,SettlementAdministration",checked,,,checked,,6
2522-436,2522,436,Miscellanous,2015-06-02,PAM,DJ,,,,,,,,,,"LeadCounsel,Communications",,,"Order says that it is reappointing all lead and liaison counsel originally appointed in entry 64 - except for the liaison counsel for the shareholder derivative cases, where it is reappointing an apparent substitution made earlier. It seems this substitution may have happened in a different docket.",checked,,7
2873-536,2873,536,Products Liability,2020-03-30,RMG,DJ,,,,,,,,,,Management,,,,checked,,1
2873-1358,2873,1358,Products Liability,2021-03-24,RMG,DJ,checked,checked,,,,,,,,"LeadCounsel,Management,Communications,Coordination",,,Appointments for March 2021-2022 term. Plaintiffs and Defense. Robert A. Bilott is Advisory Counsel to the PEC (coded as management in line with what the previous coder did).,checked,checked,50
2873-2259,2873,2259,Products Liability,2022-03-30,RMG,DJ,,checked,,,,,,,,"LeadCounsel,Management,Communications,Coordination",,,Appointments for March 2022-2023 term. Plaintiff and Defense. Advisory Counsel is coded as management in line with what the previous coder did.,checked,checked,49
2873-3602,2873,3602,Products Liability,2023-08-22,RMG,DJ,,,,,,,,,,LeadCounsel,,,Adding 4th Co-Lead Counsel on Plaintiffs' motion.,checked,,1
2873-4904,2873,4904,Products Liability,2024-04-25,RMG,DJ,,checked,,,,,,,,"LeadCounsel,Management,Communications,Coordination",,,,checked,checked,54
2873-5217,2873,5217,Products Liability,2024-06-28,RMG,DJ,,,,,,,,,,ClassCounsel,,,Text Order: granting motion to withdraw David P. Hersh as Lead Class Counsel and substituting Michael S. Burg.,checked,,2
2873-6357,2873,6357,Products Liability,2024-11-13,RMG,DJ,,,,,,,,,,"LeadCounsel,Management",,,Paul J. Napoli resigned as Plaintiff Co-Lead and the Court accepts. Other Plaintiff Co-Leads continue to serve (not included here because not an appointment). Court appoints Hunter J. Shkolnik as a member of the PEC.,checked,,2
2827-429,2827,429,Miscellanous,2020-05-07,EJD,DJ,,,checked,1,,,,,,ClassCounsel,checked,,,checked,,2
2873-1858,2873,1858,Products Liability,2021-08-16,RMG,DJ,,,,,,,,,,Coordination,,,Appointing Maxwell because Kirn withdrew.,,checked,2
2740-11412,2740,11412,Products Liability,2020-11-10,JTM,DJ,,,,,,,,,,Management,,,"Counsel automatically re-appointed unless cause to remove (or they request to be removed). All counsel holding positions in the MDL are re-appointed (for both P and D), with the exception of Zimmerman and the addition of some attorneys to the PSC. See below.",checked,,36
2820-36,2820,36,Miscellanous,2018-04-17,SNL,DJ,checked,,,,,checked,,,,,checked,checked,,checked,,11
2820-354,2820,354,Miscellanous,2019-04-01,SNL,DJ,,,,,,,,,,Management,,,"This is a minute order, no document itself but text of the order was uploaded via a document. Zimmerman was removed due to his death.",checked,,2
2807-343,2807,343,Miscellanous,2020-02-11,JSG,DJ,,,checked,1,,,,,,ClassCounsel,checked,,,checked,,2
2522-589,2522,589,Miscellanous,2015-09-15,PAM,DJ,,,checked,2,,,,,,ClassCounsel,checked,,,checked,,11
2797-35,2797,35,Sales Practices,2012-11-17,AJG,DJ,checked,checked,,,,checked,,,,"LeadCounsel,Communications,Management",checked,checked,,checked,,6
2522-758,2522,758,Miscellanous,2016-05-12,PAM,DJ,,,checked,1,,,,,,Settlement,checked,,,checked,,9
2795-25,2795,25,Sales Practices,2018-04-01,MJD,DJ,,checked,,3,,,,,,"LeadCounsel,Management,ClassCounsel",,,"Court names firms to specific roles, and then names ""lead attorneys"" from the firms, but does not appoint the individuals to specific roles or positions. Court also notes defendant's counsel, but does not appoint them to anything, so I do not include them below. ",checked,,21
2795-400,2795,400,Sales Practices,2019-04-23,MJD,DJ,,,,3,,checked,,,,LeadCounsel,,,Appoints counsel only for the derivative actions,checked,,6
2586-14,2586,14,Miscellanous,2015-04-21,ADM,DJ,,,,3,,checked,,,,"LeadCounsel,Communications,Management",checked,,,checked,,8
2615-90,2615,90,Miscellanous,2016-03-04,KM,DJ,,,,3,,,,,,Communications,checked,,,checked,,5
2695-24,2695,24,Sales Practices,2016-05-24,JOB,DJ,,,,5,,checked,checked,,,"LeadCounsel,Management,Communications,Coordination",checked,checked,,checked,,17
2695-205,2695,205,Sales Practices,2018-08-31,JOB,DJ,,,,,,,,,,LeadCounsel,checked,,"Yanchunis made a motion to withdraw both as co-lead counsel and to withdraw entirely from the case. The court granted his motion to withdraw as co-lead, but denies his motion to withdraw from the case.",checked,,1
2695-247,2695,247,Sales Practices,2019-06-24,JOB,DJ,,,,,,,,,,Communications,,,"Granting motion for Mcginn to withdraw as Liaison Counsel, and substitute Nancy Long.",checked,,2
2709-5,2709,5,Sales Practices,2016-06-22,GAF,DJ,,,,2,,checked,checked,,checked,"LeadCounsel,Communications",checked,,,checked,,2
2709-228,2709,228,Sales Practices,2019-03-21,GAF,DJ,,,checked,17,,,,,,"ClassCounsel,LeadCounsel",checked,,"Appoints a lead counsel over all classes, as well as class counsel for each different class/state.",checked,,30
2709-259,2709,259,Sales Practices,2021-02-08,GAF,DJ,,,,1,,,,,,"ClassCounsel,Settlement",checked,,,checked,,23
2737-134,2737,134,Miscellanous,2017-03-13,MSS,DJ,,,,,,,,,,Management,,,Replacing Steering Committee member. Original appointment order of committee is sealed.,checked,,2
2737-249,2737,249,Miscellanous,2020-11-02,MSS,DJ,,,checked,1,,checked,,,,"Settlement,ClassCounsel",checked,,,checked,,2
2795-404,2795,404,Sales Practices,2019-05-30,MJD,DJ,,,,3,,checked,,,,"LeadCounsel,Management,Communications",,,,checked,,6
2795-813,2795,813,Sales Practices,2020-09-14,MJD,DJ,,,checked,1,,,,,,ClassCounsel,checked,,,,,2
2779-61,2779,61,Sales Practices,2017-08-22,MAS,DJ,checked,checked,,3,,checked,,,,,checked,,"Court conditionally appoints Steve W. Berman to co-lead counsel should the mdl ""grow in size""",checked,,12
2020-236,2020,236,Contract ,2009-07-31,FSH,DJ,checked,checked,,3,,checked,,checked,checked,"Management,LeadCounsel,Settlement",checked,checked,"Plaintiffs struggled over months to reach agreement on leadership structure. Court set it up as one executive committee, and appointed a chair of the committee and settlement liaison within the committee.",checked,,6
2020-898,2020,898,Contract ,2013-08-13,FSH,DJ,,,checked,1,,,,,,"Settlement,ClassCounsel",checked,,,checked,,15
2067-19,2067,19,Sales Practices ,2009-12-30,NMG,DJ,,,,4,,checked,checked,,,"Management,ClassCounsel",checked,checked,,,,6
2338-10,2338,10,Securities ,2012-05-21,VM,DJ,checked,checked,,2,,,checked,,,"LeadCounsel,Management",checked,,"Specifically directs the leadership structure to coordinate with one party who has maintained an individual action, as well as the normal duties. ",checked,,6
2338-43,2338,43,Securities ,2013-03-28,VM,DJ,,,checked,1,,,,,,"Settlement,ClassCounsel",checked,,,checked,,2
2338-69,2338,69,Securities ,2013-12-20,VM,DJ,,,checked,,,,,,checked,"Settlement,ClassCounsel",checked,,,checked,,2
2338-70,2338,70,Securities ,2013-12-20,VM,DJ,,,checked,,,,,,checked,"Settlement,ClassCounsel",checked,,,checked,,2
2338-72,2338,72,Securities ,2014-01-31,VM,DJ,,,checked,1,,,,,checked,"Settlement,ClassCounsel",checked,,,checked,,2
2382-61,2382,61,Sales Practices,2013-05-31,HEA,DJ,checked,,,3,,,,,,"LeadCounsel,Management",checked,checked,,checked,,8
2587-76,2587,76,Miscellanous,2015-03-15,SAF,DJ,checked,checked,,4,,checked,checked,,checked,"LeadCounsel,Management,Communications",checked,checked,,,checked,24
2587-172,2587,172,Miscellanous,2016-04-22,SAF,DJ,,,,,,checked,,,,"LeadCounsel,Management,Communications",checked,checked,"Amends Order 76 to group by LEC (Local Exchange Carrier) as some now are plaintiffs, while others are defendants. Have not marked plaintiff or defendant. Also removed John S. Cooper.",,,24
2590-746,2590,746,Products Liability,2020-01-21,JBG,DJ,,,checked,1,,,,,,ClassCounsel,checked,,,checked,,3
2591-67,2591,67,Miscellanous,2015-01-22,JWL,DJ,checked,,,5,,checked,,,,"LeadCounsel,Management,Communications",checked,checked,,checked,checked,15
2591-2547,2591,2547,Miscellanous,2016-09-26,JWL,DJ,,,checked,1,,,,,,ClassCounsel,checked,checked,,checked,,4
2591-3366,2591,3366,Miscellanous,2017-08-08,JWL,DJ,,,,1,,,,,,Settlement,,,,checked,,4
2591-3532,2591,3532,Miscellanous,2018-04-10,JWL,DJ,,,checked,4,,,,,,"Settlement,ClassCounsel",checked,,,checked,,6
2153-14,2153,14,Sales Practices ,2010-07-16,GHW,DJ,checked,,,3,,checked,,,,"LeadCounsel,Communications,Management",,checked,,checked,,5
1871-5387,1871,5387,Products Liability,2021-11-30,CMR,DJ,,,,,,,,,,Communications,,,,,,1
2036,2036,2036,Contract ,2009-09-02,JLK,DJ,checked,,,3,,checked,,,,"Management,LeadCounsel",,,,checked,checked,9
2036-1128,2036,1128,Contract ,2011-02-04,JLK,DJ,,,,1,,checked,,,,Management,,,Creates coordinating counsel post for lawyer who switched firms,checked,,3
2036-1763,2036,1763,Contract ,2011-07-25,JLK,DJ,checked,,,1,,,,,,ClassCounsel,checked,,Class certification order,,,8
2036-1912,2036,1912,Contract ,2011-10-03,JLK,DJ,,,,,,,,,,LeadCounsel,,,Reappoints Bruce Rogow after he switched firms ,,,1
2036-2615,2036,2615,Contract ,2011-07-25,JLK,DJ,checked,,checked,1,,,,,,,checked,,Grants class certification ,checked,,9
2036-2657,2036,2657,Contract ,2012-04-26,JLK,DJ,,,checked,1,,,,,,ClassCounsel,checked,checked,"Approves settlement and certifies settlement class. Class counsel are listed in the settlement agreement, which we didn't have as of Feb. 2025, and so aren't coded.",,,0
2036-2659,2036,2659,Contract ,2012-04-26,JLK,DJ,,,checked,1,,,,,,ClassCounsel,,,Approves motion for certification of settlement class ,,,20
2036-2673,2036,2673,Contract ,2012-02-04,JLK,DJ,,,checked,1,,,,,,ClassCounsel,checked,,,checked,,10
2036-2697,2036,2697,Contract ,2012-05-16,JLK,DJ,,,checked,1,,,,,,ClassCounsel,checked,,,,,8
2036-2875,2036,2875,Contract ,2012-08-10,JLK,DJ,,,checked,1,,,,,,ClassCounsel,,,,,,8
2036-2949,2036,2949,Contract ,2012-09-13,JLK,DJ,,,,,,,,,,ClassCounsel,checked,,,checked,,17
2036-3128,2036,3128,Contract ,2012-12-18,JLK,DJ,,,,,,,,,,"ClassCounsel,SettlementAdministration",checked,,Counsel listed in settlement agreement and not yet coded,,,13
2036-3134,2036,3134,Contract ,2012-12-19,JLK,DJ,,,,,,,,,,"ClassCounsel,SettlementAdministration",checked,,,,,25
2036-3331,2036,3331,Contract ,2013-03-12,JLK,DJ,,,,2,,,,,,"SettlementAdministration,ClassCounsel",checked,,,checked,,21
2036-3339,2036,3339,Contract ,2013-03-18,JLK,DJ,,,,2,,,,,,"ClassCounsel,SettlementAdministration",checked,,,checked,,21
2036-3570,2036,3570,Contract ,2013-08-02,JLK,DJ,,,checked,2,,,,,,"ClassCounsel,SettlementAdministration",checked,,,checked,,13
2036-3572,2036,3572,Contract ,2013-08-02,JLK,DJ,,,checked,2,,,,,,"SettlementAdministration,ClassCounsel",checked,,,checked,,13
2036-3574,2036,3574,Contract ,2013-08-02,JLK,DJ,,,checked,2,,,,,,"SettlementAdministration,ClassCounsel",checked,,,checked,,13
2036-3576,2036,3576,Contract ,2013-08-02,JLK,DJ,,,checked,2,,,,,,"SettlementAdministration,ClassCounsel",checked,,,checked,,13
2036-3578,2036,3578,Contract ,2013-08-02,JLK,DJ,,,checked,2,,,,,,"SettlementAdministration,ClassCounsel",checked,,,checked,,13
2036-3580,2036,3580,Contract ,2013-08-05,JLK,DJ,,,checked,2,,,,,,"SettlementAdministration,ClassCounsel",checked,,Counsel listed in settlement agreement and not coded yet ,checked,,17
2036-3818,2036,3818,Contract ,2014-04-01,JLK,DJ,,,checked,2,,,,,,"SettlementAdministration,ClassCounsel",checked,,,checked,,13
2036-3894,2036,3894,Contract ,2014-06-09,JLK,DJ,,,checked,2,,,,,,"SettlementAdministration,ClassCounsel",checked,,Counsel listed in settlement agreement and not coded yet ,checked,,17
2036-4088,2036,4088,Contract ,2015-03-15,JLK,DJ,,,checked,2,,,,,,"SettlementAdministration,ClassCounsel",checked,,,checked,,9
2036-4168,2036,4168,Contract ,2015-05-22,JLK,DJ,,,checked,2,,,,,,"SettlementAdministration,ClassCounsel",checked,,,checked,,12
,,,,,,,,,,,,,,,,,,,,,,0
2036-4180,2036,4180,Contract ,2015-06-08,JLK,DJ,,,checked,2,,,,,,ClassCounsel,checked,,,checked,,8
2036-4181,2036,4181,Contract ,2015-06-18,JLK,DJ,,,checked,,,,,,,"ClassCounsel,SettlementAdministration",checked,,,,,8
2184-47,2184,47,Miscellanous,2010-10-08,JW,DJ,,,,,,,,,,"ClassCounsel,LeadCounsel",checked,,,checked,,3
2873-1112,2873,1112,Products Liability,2021-01-15,RMG,DJ,,,,,,,,,,Management,,,,checked,,1
2666-2263,2666,2263,Products Liability,2022-12-28,JNE,DJ,,,,,,,,,,LeadCounsel,,,,,checked,2
2666-2259,2666,2259,Products Liability,2022-11-17,JNE,DJ,,,,,,,,,,LeadCounsel,,,"This is a notice of withdrawal, but he was currently appointed as co-lead counsel.",,checked,1
2592-18012,2592,18012,Products Liability,2021-10-27,EEF,DJ,,,,,,,,,,LeadCounsel,,,,,checked,3
2740-12102,2740,12102,Products Liability,2021-01-29,JTM,DJ,,,,,,,,,,Settlement,,,,,checked,2
2740-12759,2740,2740,Products Liability,2021-06-01,JTM,DJ,,,,,,,,,,Settlement,,,,,checked,2
2789-770,2789,770,Products Liability,2022-03-11,CCC,DJ,,,,,,,,,,Management,,,,checked,,1
2789-771,2789,771,Products Liability,2022-03-11,CCC,DJ,,,,,,,,,,Management,,,,checked,,1
2800-232,2800,232,Miscellanous,2018-02-12,TWT,DJ,,checked,,8,,checked,checked,,,,checked,checked,,checked,,31
2800-1193,2800,1193,Miscellanous,2020-11-16,TWT,DJ,,,checked,,,checked,,,,ClassCounsel,checked,,Final approval of settlement. Class counsel responsible for determining distribution of the fee award. One firm sued the Co-Lead Counsel alleging its fee award was too low and the method for determining fee allocation violated their ethical and fiduciary duties in a Chancery Court. This court enjoins the firm from proceeding saying they have exclusive jurisdiction.,checked,,2
2800-1283,2800,1283,Miscellanous,2023-12-18,TWT,DJ,,,,,,,,,,LeadCounsel,,,,checked,,1
2185-79,2185,79,Securities ,2010-12-28,KEP,DJ,,,checked,1,,,,,,ClassCounsel,checked,,,checked,,5
2185-248,2185,248,Securities ,2010-10-12,KEP,DJ,,,,3,,checked,,,checked,"LeadCounsel,Management,Communications",,,,checked,,6
2185-141,2185,141,Securities ,2011-04-13,KEP,DJ,,,,,,,,,,Management,,,,checked,,2
2185-857,2185,857,Securities ,2014-05-20,KEP,DJ,,,checked,1,,,,,,ClassCounsel,checked,,,checked,,2
2296-569,2296,569,Miscellanous,2012-02-23,WHP,DJ,,,,2,,checked,,,checked,Communications,,checked,,checked,checked,5
2296-1050,2296,1050,Miscellanous,2012-06-05,WHP,DJ,,,,1,,checked,,,,Communications,,,,checked,,1
2296-1395,2296,1395,Miscellanous,2012-09-07,WHP,DJ,,,,5,,checked,,,checked,Communications,checked,,,checked,checked,58
2244-1052,2244,1052,Products Liability,2019-09-11,K,DJ,,,,,,,,,,Fees,,,,,,1
2263-20,2263,20,Sales Practices,2011-11-10,SM,DJ,checked,checked,,3,,,,,,"LeadCounsel,Management",,,,checked,,11
2286-21,2286,21,Miscellanous,2012-03-13,MMA,DJ,,checked,,2,,,,,,"LeadCounsel,Communications",checked,checked,,checked,,5
2286-524,2286,524,Miscellanous,2017-08-01,MMA,DJ,checked,checked,,,,,,,,"LeadCounsel,Communications",checked,checked,,checked,,5
2286-548,2286,548,Miscellanous,2017-11-29,MMA,DJ,,checked,,,,,,,,Communications,,,,checked,,0
2744-16,2744,16,Miscellanous,2016-11-16,DML,DJ,,checked,,3,,checked,,,,"LeadCounsel,Management,Communications",,,,checked,,7
2744-492,2744,492,Miscellanous,2019-12-09,DML,DJ,,,checked,1,,,,,,ClassCounsel,checked,,"Does not specifically name class counsel in the order, but merely says that lead counsel and the PSC are appointed as class counsel",checked,,6
2743-17,2743,17,Sales Practices,2016-12-22,AJT,DJ,,checked,,2,,,,,,LeadCounsel,,,,checked,checked,3
2743-43,2743,43,Sales Practices,2017-03-01,AJT,DJ,,,,1,,,,,,LeadCounsel,,,,checked,,3
2743-85,2743,85,Sales Practices,2017-07-10,AJT,DJ,,,,2,,,,,,Settlement,,,,checked,checked,3
2743-128,2743,128,Sales Practices,2018-06-15,AJT,DJ,,,checked,1,,,,,,ClassCounsel,checked,,,,,6
2800-1133,2800,1133,Miscellanous,2020-06-04,TWT,DJ,,,,,,checked,,,,ClassCounsel,checked,,Preliminary approval of settlement; class likely meets all requirements of FRCP 23(a) and (b)(3). Appoints class counsel,checked,,2
2873-4543,2873,4543,Products Liability,2024-02-26,RMG,DJ,,,,,,,,,,ClassCounsel,checked,,Confirms appointment of class counsel,checked,,5
2886-25,2886,25,Products Liability,2020-12-18,DCN,DJ,,,,1,,,,,,Settlement,checked,,,checked,,10
2775-2579,2775,2579,Products Liability,2021-03-24,CCB,DJ,,,,,,,,,,LeadCounsel,,,,checked,,2
2775-2103,2775,2103,Products Liability,2020-04-03,CCB,DJ,,,,,,,,,,LeadCounsel,,,,checked,,3
2775-3788,2775,3788,Products Liability,2022-07-01,CCB,DJ,,,,,,,,,,Settlement,,,,,,5
2295-17,2295,17,Miscellanous,2012-04-09,JAH,DJ,,,,2,,,,,,"LeadCounsel,Communications",,,,checked,,3
2295-374,2295,374,Miscellanous,2016-06-23,JAH,DJ,,,,2,,,,,,"ClassCounsel,Communications",,,,checked,,5
2295-596,2295,596,Miscellanous,2018-06-08,JAH,DJ,,,,,,checked,,,,"LeadCounsel,Communications",,,,checked,,3
2323-64,2323,64,Miscellanous,2012-04-26,ABB,DJ,,,,5,,,,,,"LeadCounsel,Management,Communications",,,The Order is not signed and dated.,checked,checked,28
2323-72,2323,72,Miscellanous,2012-05-10,ABB,DJ,,,,,,,,,,"LeadCounsel,Management",,,,checked,,3
2323-3587,2323,3587,Miscellanous,2012-08-28,ABB,DJ,,,,,,,,,,Communications,,,,,checked,1
2323-9561,2323,9561,Miscellanous,2018-01-08,ABB,DJ,,,,1,,,,,,ProSe,,,Appointment of counsel for pro se settlement class members,checked,,1
2323-10624,2323,10624,Miscellanous,2019-05-24,ABB,DJ,,,,,,,,,,"LeadCounsel,Management,Communications",,,Appointments terminated except lead counsel,,,30
2323-10855,2323,10855,Miscellanous,2019-09-16,ABB,DJ,,,,,,,,,,LeadCounsel,,,Revokes prior appointments of plaintiffs' counsel against Riddell defendants,checked,,2
2353-18,2353,18,Sales Practices,2012-02-14,DMC,DJ,,,,1,,checked,checked,,,LeadCounsel,,,,checked,,1
2357-202,2357,202,Miscellanous,2014-09-18,RCJ,DJ,,,,3,,,,,,"LeadCounsel,Management,Communications",,,,checked,,7
2433-20,2433,20,Miscellanous,2013-05-29,EAS,DJ,,,,3,,checked,checked,,,"LeadCounsel,Management,Communications",,,,checked,,9
2433-5136,2433,5136,Miscellanous,2018-06-06,EAS,DJ,,,,1,,checked,,,,Fees,,,Established Fee Committee,checked,,4
2272-162,2272,162,Products Liability,2011-11-10,RP,DJ,checked,,,,,checked,,,checked,"LeadCounsel,Communications,Management",,checked,Jointly submitted CMO that carries forward lead counsel appointments from Doc. No. 48,checked,checked,21
2440-705,2440,705,Products Liability,2019-03-13,JRG,DJ,,,,,,checked,,,,Fees,,,,checked,,9
2742-98,2742,98,Securities ,2016-12-21,PKC,DJ,,,,2,,checked,,,,"LeadCounsel,Communications",,,,checked,,2
2742-103,2742,103,Securities ,2016-12-22,PKC,DJ,,,,1,,,,,,LeadCounsel,,,Appoints lead counsel for a specified list of actions. ,,,1
2742-549,2742,549,Securities ,2019-01-07,PKC,DJ,,,checked,1,,,,,,ClassCounsel,,,,checked,,1
2741-14966,2741,14966,Products Liability,2022-06-21,VC,DJ,,,checked,1,,,,,,ClassCounsel,,,,checked,,4
2741-16401,2741,16401,Products Liability,2023-03-31,VC,DJ,,,checked,1,,,,,,ClassCounsel,checked,,Confirms prior appointment of class counsel without specifically renaming the appointments,checked,,4
2705-111,2705,111,Sales Practices,2016-09-16,GF,DJ,checked,,,2,,checked,,,,"LeadCounsel,Management",checked,,,checked,,12
2693-85,2693,85,Miscellanous,2016-06-08,JLS,DJ,checked,checked,,3,,checked,,,,"LeadCounsel,Management,Communications",checked,,,checked,checked,7
2693-297,2693,297,Miscellanous,2019-01-01,JLS,DJ,,,checked,1,,,,,,ClassCounsel,checked,,,checked,,5
2492-15,2492,15,Miscellanous,2014-02-05,JZL,DJ,,,,,,checked,,,,"LeadCounsel,Communications",,checked,Indicates court's intent to appoint lead counsel and liaison counsel and solicits applications ,checked,checked,0
2492-76,2492,76,Miscellanous,2014-07-30,JZL,DJ,checked,checked,,4,,checked,checked,checked,,"ClassCounsel,LeadCounsel,Communications",checked,,Resolves leadership fight between Steve Berman and Jay Edelson,checked,checked,7
2492-291,2492,291,Miscellanous,2016-09-08,JZL,DJ,,,,,,checked,checked,checked,,"LeadCounsel,Communications",,checked,"After most cases settle, solicits leadership applications for Single Sport/Single School Cases. No one seems to have been appointed in response to the order. ",checked,checked,0
2493-23,2493,23,Miscellanous,2014-02-11,IMK,DJ,,,,3,,checked,,,,,,,,checked,checked,4
2752-58,2752,58,Miscellanous,2017-02-09,LHK,DJ,checked,checked,,2,,checked,,,,"Management,LeadCounsel",checked,,Create PEC and appoints lead plaintiffs' counsel. Yanchunis is chair of the PEC.,checked,,5
2677-174,2677,174,Sales Practices,2016-03-31,GAT,DJ,checked,checked,,3,,checked,,,,"LeadCounsel,Management,Communications",checked,,,checked,,13
2504-194,2504,194,Employment Practices ,2016-05-04,DJH,DJ,,,checked,1,,,,,,ClassCounsel,checked,checked,Certifies settlement class,checked,,5
2672-7997,2672,7997,Products Liability,2022-07-08,CRB,DJ,,,checked,1,,,,,,ClassCounsel,checked,,,checked,,1
2504-295,2504,295,Employment Practices ,2016-06-27,DJH,DJ,,,checked,,,,,,,ClassCounsel,checked,,Final settlement class approval,checked,,1
2672-8088,2672,8088,Products Liability,2022-11-09,CRB,DJ,,,checked,1,,,,,,ClassCounsel,checked,,,checked,,1
2669-87,2669,87,Miscellanous,2016-02-05,JAR,DJ,checked,checked,,4,,checked,,,,"LeadCounsel,Management,Communications",,checked,Appoints both individuals and firms to plaintiffs' leadership,checked,checked,17
2669-354,2669,354,Miscellanous,2017-07-21,JAR,DJ,,,checked,1,,checked,,,,Settlement,checked,,Preliminary Approval Order of Settlement -- appoints several firms as class settlement counsel.,checked,,3
2664-58,2664,58,Miscellanous,2016-01-28,ABJ,DJ,checked,checked,,3,,,,,,"LeadCounsel,ClassCounsel,Management",,,,checked,,5
2551-18,2551,18,Miscellanous,2014-09-18,SRN,DJ,,checked,,4,,,,,,"LeadCounsel,ClassCounsel,Communications,Management",,,,checked,,12
2645-41,2645,41,Sales Practices,2015-11-13,WHP,DJ,checked,checked,,,,,,,,ClassCounsel,checked,,Interim Class Counsel appointed for a one year term,,,3
2645-95,2645,95,Sales Practices,2016-12-30,PWH,DJ,,,,,,,,,,ClassCounsel,,,,checked,,3
2645-126,2645,126,Sales Practices,2018-03-02,WHP,DJ,,,,,,,,,,ClassCounsel,,,,,,3
2645-216,2645,216,Sales Practices,2021-03-04,WHP,DJ,,,checked,1,,,,,,ClassCounsel,checked,,,checked,,3
2627-457,2627,457,Sales Practices,2015-08-05,AJT,DJ,,checked,,2,,,,,,LeadCounsel,,,,checked,checked,5
2627-1227,2627,1227,Sales Practices,2017-11-30,AJT,DJ,,,,,,,,,,LeadCounsel,,,,,,3
2804-37,2804,37,Miscellanous,2018-01-04,DAP,DJ,,,,3,,checked,,,,"LeadCounsel,Management,Communications",,checked,"Submitted one motion proposing the committee, but hospital plaintiffs and third party payors made separate motions requesting a seat/separate track. Court ordered the plaintiffs to amend the committee proposal accordingly.",checked,,22
2804-31,2804,31,Miscellanous,2017-12-29,DAP,DJ,,,,2,,,,,,"Communications,Management",,,Minute entry without a docket entry number - used docket entry 31 as a placeholder since the entry comes right after. (text of the order is in the word doc in the folder),,checked,20
2804-38,2804,38,Miscellanous,2018-01-04,DAP,DJ,,,,,,,,,,Management,,,"Not an order, but in the order appointing Defendant leadership organizations the Court asked the defendants to designate one more attorney as part of the Steering Committee. This entry is that notice designating the additional attorney, per the Court's request.",,checked,1
2804-96,2804,96,Miscellanous,2018-01-26,DAP,DJ,,,,,,,,,,Communications,,,Minute entry without a docket number. Used 96 as a placeholder since this entry is between 96 and 97.,,checked,2
2804-118,2804,118,Miscellanous,2018-02-07,DAP,DJ,,,,3,,,,,,Settlement,,,Included last two appointments for Attorneys General subgroups.,checked,checked,22
2804-2490,2804,2490,Miscellanous,2019-08-19,DAP,DJ,,,checked,1,,,checked,checked,checked,ClassCounsel,checked,checked,,checked,,0
